0
2,320,900,1800
0,32,1,3
3,3,0	4,3,0	5,1,0	6,3,1	7,1,0	8,3,0	9,3,0
		5,1,0	6,1,0			
		5,3,0	6,1,0	7,3,0		
		5,3,0	6,3,0			
		5,3,0	6,3,0	7,3,0		
		5,1,0	6,1,0			
		5,3,0	6,3,0	7,3,0		
		5,3,0	6,3,0			
		5,1,0	6,1,1	7,1,0		
		5,3,0	6,3,0			
		5,3,0	6,3,0	7,3,0		
		5,1,0	6,1,0			
			6,3,0			
		5,3,0	6,3,0			
			6,1,0			
		5,3,0	6,3,0			
		5,1,0	6,1,1	7,1,0		
		5,1,0	6,1,0			
		5,1,0	6,1,0	7,1,0		
		5,1,1	6,1,1			
			6,1,0			
		5,1,0	6,1,0			
		5,3,0	6,3,0	7,3,0		
		5,3,0	6,3,0			
			6,3,0			
		5,3,0	6,3,0			
			6,3,0			
